"Date","Time (UTC)","Pair","Direction","Entry Price","Exit Price","Quantity","PnL (USDT)","Balance (USDT)","Signal Source"
"2026-06-24","15:38:17.543","BTCUSDT","Long","65090.6732072216",,"0.001",,,
"2026-06-24","15:48:06.368","BTCUSDT","Long","64979.1456241171",,"0.001",,,
"2026-06-24","15:53:03.648","BTCUSDT","Long","65060.7776563737",,"0.001",,,
"2026-06-24","15:56:06.229","BTCUSDT","Long","64973.1050541805","65023.3794107697","0.001",,,
"2026-06-24","16:03:11.027","BTCUSDT","Long","65004.7275368813",,"0.001",,,
"2026-06-24","16:09:38.984","BTCUSDT","Long","65041.3927746977",,"0.001",,,
"2026-06-24","16:12:26.715","BTCUSDT","Long","64976.4897153981",,"0.001",,,
"2026-06-24","16:14:17.707","BTCUSDT","Long","64954.4346593674",,"0.001",,,
"2026-06-24","16:18:34.943","BTCUSDT","Long","65007.6869589908","65044.896501534","0.001",,,
"2026-06-24","16:20:03.481","BTCUSDT","Short",,"64979.2231153842","0.001",,,
"2026-06-24","16:21:33.540","BTCUSDT","Long","65093.1070952347","64933.1702005853","0.001",,,
"2026-06-24","16:23:02.991","BTCUSDT","Long","64924.7814549679","64919.8369141994","0.001",,,
"2026-06-25","09:35:22.129","BTCUSDT","Long","64922.8274388283",,"0.001",,,
"2026-06-25","10:32:51.736","BTCUSDT","Long","64912.0833454885",,"0.001",,,
"2026-06-25","10:55:46.654","BTCUSDT","Long","64996.2330030642","64999.1648887544","0.001",,,
"2026-06-26","11:31:17.956","BTCUSDT","Long","59460",,"4.70904809956E-05",,,
"2026-06-26","11:43:27.743","BTCUSDT","Long","59468.57",,"4.70836947987E-05",,,
"2026-06-26","11:46:13.093","BTCUSDT","Long","59404.97",,"4.7134103426E-05",,,
"2026-06-26","11:49:17.364","BTCUSDT","Long","59413.42",,"4.71273998366E-05",,,
"2026-06-26","11:52:17.189","BTCUSDT","Long","59404.15",,"4.71347540533E-05",,,
"2026-06-26","11:54:59.905","BTCUSDT","Long","59349.99",,"4.71777670055E-05",,,
"2026-06-26","11:57:43.340","BTCUSDT","Long","59374.25",,"4.7158490423E-05",,,
"2026-06-26","12:01:51.633","BTCUSDT","Long","59480",,"4.70746469401E-05",,,
"2026-06-26","12:06:57.720","BTCUSDT","Long","59474.55",,"4.70789606646E-05",,,
"2026-06-26","12:10:17.165","BTCUSDT","Long","59440.48",,"4.71059453086E-05",,,
"2026-06-26","12:11:35.714","BTCUSDT","Long","59410.56",,"4.71296685303E-05",,,
"2026-06-26","12:12:46.183","BTCUSDT","Long","59495","59294.22","4.70627783847E-05",,,
"2026-06-26","12:49:19.202","BTCUSDT","Short",,"59370.64","4.6E-05",,,
"2026-06-26","12:52:13.005","BTCUSDT","Short",,"59253.16","4.6E-05",,,
"2026-06-26","12:58:41.155","BTCUSDT","Short",,"59250.25","4.7E-05",,,
"2026-06-26","12:59:46.060","BTCUSDT","Short",,"59161.02","4.7E-05",,,
"2026-06-26","13:01:00.182","BTCUSDT","Short",,"59215.16","4.7E-05",,,
"2026-06-26","13:02:17.280","BTCUSDT","Short",,"59199.23","4.7E-05",,,
"2026-06-26","13:03:36.483","BTCUSDT","Short",,,"4.7E-05",,,
